,,,,ARG,ARG,ARG,ARG,in_constraints_probs,in_constraints_probs,in_constraints_probs,in_constraints_probs
method,,,,HEA,commute,cyclic,penalty,HEA,commute,cyclic,penalty
pkid,layers,variables,constraints,,,,,,,,
0,4,6,3,51.219399201199664,0.04241570494998147,23.759018791874187,42.22996493353935,15.217000000000002,100.0,42.914,16.493000000000002
1,4,15,8,148.07132990896747,0.576186338172921,65.37607568386746,96.28314242564547,0.08199999999999999,99.99999999999997,8.401,0.6449999999999999
2,4,21,12,181.02092038387306,0.5825210994062557,64.89259971760178,118.69857546699295,0.004,100.0,3.1150000000000007,0.10899999999999999
3,4,28,15,259.0561848315577,0.4624226181680163,82.56582164831335,159.90565411672577,0.0,99.99999999999996,1.4129999999999998,0.05199999999999999
4,4,15,9,1718.6344666666726,0.08618333333333333,399.00501666666764,983.5452000000056,0.03333333333333333,100.00000000000001,32.63333333333333,0.3166666666666666
5,4,20,8,2269.363758333387,0.2842000000000002,155.63027500000035,1724.116958333353,0.02,100.0,58.22666666666666,0.06999999999999999
6,4,24,12,3068.2197550001874,0.2529699999999999,225.17560000000003,1411.117685000016,0.003,99.99999999999999,42.447,0.36899999999999966
7,4,28,16,3874.4184700001524,0.494085,99.58209999999993,2052.3586150000474,0.0,99.99999999999999,72.356,0.007000000000000001
8,4,8,6,40.233860125734985,0.04128319410509714,24.091891423335774,41.38196127064823,6.795,100.0,23.939999999999998,6.254
9,4,18,9,98.85697370965711,0.028188557450401865,39.936228890735656,80.47879720079041,0.05700000000000001,99.99999999999997,20.375999999999998,0.3829999999999999
10,4,24,11,131.2184867357203,0.21076238606630376,0.31031169543001014,100.78304043160095,0.002,99.99999999999991,99.852,0.008
11,4,27,12,104.20000918899754,0.10831641883122903,37.79952997953411,82.02528830811987,0.002,99.99999999999991,20.02,0.006
