demands,facilities,layers,variables,constraints,mcx_mode,method,depth,culled_depth
1,2,1,6,3,constant,penalty,25,8
1,2,1,6,3,constant,cyclic,41,14
1,2,1,6,3,constant,commute,136,45
1,2,1,6,3,constant,HEA,13,6
2,2,1,10,6,constant,penalty,34,12
2,2,1,10,6,constant,cyclic,49,18
2,2,1,10,6,constant,commute,518,202
2,2,1,10,6,constant,HEA,17,10
2,3,1,15,8,constant,penalty,42,16
2,3,1,15,8,constant,cyclic,62,22
2,3,1,15,8,constant,commute,967,380
2,3,1,15,8,constant,HEA,22,15
3,3,1,21,12,constant,penalty,52,20
3,3,1,21,12,constant,cyclic,71,26
3,3,1,21,12,constant,commute,3131,1340
3,3,1,21,12,constant,HEA,28,21
3,4,1,28,15,constant,penalty,61,24
3,4,1,28,15,constant,cyclic,85,30
3,4,1,28,15,constant,commute,4644,2000
3,4,1,28,15,constant,HEA,35,28
1,2,1,6,3,linear,penalty,25,8
1,2,1,6,3,linear,cyclic,41,14
1,2,1,6,3,linear,commute,136,45
1,2,1,6,3,linear,HEA,13,6
2,2,1,10,6,linear,penalty,34,12
2,2,1,10,6,linear,cyclic,49,18
2,2,1,10,6,linear,commute,585,256
2,2,1,10,6,linear,HEA,17,10
2,3,1,15,8,linear,penalty,42,16
2,3,1,15,8,linear,cyclic,62,22
2,3,1,15,8,linear,commute,1102,488
2,3,1,15,8,linear,HEA,22,15
3,3,1,21,12,linear,penalty,52,20
3,3,1,21,12,linear,cyclic,71,26
3,3,1,21,12,linear,commute,1620,672
3,3,1,21,12,linear,HEA,28,21
3,4,1,28,15,linear,penalty,61,24
3,4,1,28,15,linear,cyclic,85,30
3,4,1,28,15,linear,commute,2382,1000
3,4,1,28,15,linear,HEA,35,28
