demands,facilities,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs
1,2,1,6,3,penalty,131.18359375,15.625,4.39453125
1,2,2,6,3,penalty,134.9931640625,18.1640625,1.46484375
1,2,3,6,3,penalty,165.5390625,21.77734375,4.39453125
1,2,4,6,3,penalty,166.20654296875,4.78515625,0.87890625
1,2,5,6,3,penalty,153.435546875,6.0546875,1.3671875
1,2,1,6,3,cyclic,110.60107421875,17.87109375,0.09765625
1,2,2,6,3,cyclic,117.11181640625,18.9453125,0.1953125
1,2,3,6,3,cyclic,100.27880859375,1.3671875,0.68359375
1,2,4,6,3,cyclic,98.865234375,7.32421875,5.17578125
1,2,5,6,3,cyclic,95.47314453125,20.8984375,8.59375
1,2,1,6,3,commute,0.5,100.0,0
1,2,2,6,3,commute,0.00732421875,100.0,98.53515625
1,2,3,6,3,commute,0.00634765625,100.0,98.73046875
1,2,4,6,3,commute,0.263671875,100.0,49.70703125
1,2,5,6,3,commute,0.01513671875,100.0,97.265625
1,2,1,6,3,HEA,0.09765625,99.90234375,99.90234375
1,2,2,6,3,HEA,8.03125,97.265625,0
1,2,3,6,3,HEA,109.53076171875,33.0078125,0.29296875
1,2,4,6,3,HEA,140.818359375,23.828125,2.44140625
1,2,5,6,3,HEA,150.10302734375,24.70703125,2.05078125
2,2,1,10,6,penalty,193.98046875,6.25,0.68359375
2,2,2,10,6,penalty,205.23359375,4.58984375,0.87890625
2,2,3,10,6,penalty,210.6720703125,8.30078125,0.68359375
2,2,4,10,6,penalty,250.2875,1.66015625,0.09765625
2,2,5,10,6,penalty,344.9498046875,0.1953125,0
2,2,1,10,6,cyclic,126.593359375,22.4609375,0
2,2,2,10,6,cyclic,193.49453125,29.6875,0
2,2,3,10,6,cyclic,114.2599609375,37.98828125,0
2,2,4,10,6,cyclic,139.90546875,20.80078125,0.09765625
2,2,5,10,6,cyclic,251.4900390625,7.12890625,0.9765625
2,2,1,10,6,commute,1.4,100.0,0
2,2,2,10,6,commute,0.71640625,100.0,67.08984375
2,2,3,10,6,commute,0.8119140625,100.0,62.59765625
2,2,4,10,6,commute,1.401953125,100.0,18.5546875
2,2,5,10,6,commute,0.287890625,100.0,83.69140625
2,2,1,10,6,HEA,162.502734375,0,0
2,2,2,10,6,HEA,266.5220703125,0.09765625,0
2,2,3,10,6,HEA,342.43046875,1.26953125,0.1953125
2,2,4,10,6,HEA,351.0466796875,1.5625,0.09765625
2,2,5,10,6,HEA,381.5484375,0.78125,0.1953125
2,3,1,15,8,penalty,319.50625,1.07421875,0
2,3,2,15,8,penalty,320.6625,1.5625,0.09765625
2,3,3,15,8,penalty,340.594140625,0.78125,0
2,3,4,15,8,penalty,338.8884765625,0.48828125,0
2,3,5,15,8,penalty,399.458203125,0.29296875,0
2,3,1,15,8,cyclic,183.30859375,11.71875,0
2,3,2,15,8,cyclic,323.687109375,1.171875,0
2,3,3,15,8,cyclic,289.9478515625,1.3671875,0
2,3,4,15,8,cyclic,280.6021484375,2.1484375,0.09765625
2,3,5,15,8,cyclic,275.3623046875,2.83203125,0.390625
2,3,1,15,8,commute,1.327734375,100.0,7.6171875
2,3,2,15,8,commute,0.61953125,100.0,25.390625
2,3,3,15,8,commute,0.498046875,100.0,39.6484375
2,3,4,15,8,commute,0.9203125,100.0,4.00390625
2,3,5,15,8,commute,0.9875,100.0,9.27734375
2,3,1,15,8,HEA,348.230078125,0,0
2,3,2,15,8,HEA,550.3208984375,0.09765625,0
2,3,3,15,8,HEA,582.426171875,0,0
2,3,4,15,8,HEA,597.66875,0.1953125,0
2,3,5,15,8,HEA,606.313671875,0.09765625,0.09765625
3,3,1,21,12,penalty,358.20382254464283,0,0
3,3,2,21,12,penalty,520.7317243303571,0.09765625,0
3,3,3,21,12,penalty,439.4564732142857,0,0
3,3,4,21,12,penalty,388.23116629464283,0.390625,0
3,3,5,21,12,penalty,321.3662109375,0.09765625,0
3,3,1,21,12,cyclic,215.05078125,1.3671875,0
3,3,2,21,12,cyclic,385.4423828125,1.85546875,0
3,3,3,21,12,cyclic,235.75530133928572,0.78125,0
3,3,4,21,12,cyclic,168.94810267857142,4.00390625,0.09765625
3,3,5,21,12,cyclic,209.84514508928572,0.1953125,0
3,3,1,21,12,commute,0.14271763392857142,100.0,0.09765625
3,3,2,21,12,commute,0.14271763392857142,100.0,0.09765625
3,3,3,21,12,commute,0.16266741071428573,100.0,18.65234375
3,3,4,21,12,commute,0.1513671875,100.0,73.046875
3,3,5,21,12,commute,0.14327566964285715,100.0,0
3,3,1,21,12,HEA,313.9287109375,0,0
3,3,2,21,12,HEA,642.5269252232143,0,0
3,3,3,21,12,HEA,637.7999441964286,0,0
3,3,4,21,12,HEA,663.7702287946429,0,0
3,3,5,21,12,HEA,654.4464285714286,0,0
3,4,1,28,15,penalty,981.800048828125,0,0
3,4,2,28,15,penalty,1804.691650390625,0,0
3,4,3,28,15,penalty,774.515625,0.09765625,0.09765625
3,4,4,28,15,penalty,1175.54541015625,0,0
3,4,5,28,15,penalty,844.108642578125,0,0
3,4,1,28,15,cyclic,556.152587890625,0.29296875,0
3,4,2,28,15,cyclic,509.5283203125,0.1953125,0
3,4,3,28,15,cyclic,471.81298828125,0.5859375,0
3,4,4,28,15,cyclic,655.5107421875,0,0
3,4,5,28,15,cyclic,331.429931640625,2.34375,0
3,4,1,28,15,commute,0.999755859375,100.0,0
3,4,2,28,15,commute,timeout,timeout,timeout
3,4,3,28,15,commute,timeout,timeout,timeout
3,4,4,28,15,commute,timeout,timeout,timeout
3,4,5,28,15,commute,timeout,timeout,timeout
3,4,1,28,15,HEA,1213.434326171875,0,0
3,4,2,28,15,HEA,1700.05615234375,0,0
3,4,3,28,15,HEA,1700.956787109375,0,0
3,4,4,28,15,HEA,1748.560302734375,0,0
3,4,5,28,15,HEA,1756.185302734375,0,0
