Problem_Size,Variables,Constraints,Layers,MCX_Mode,penalty_depth,cyclic_depth,commute_depth,HEA_depth,penalty_culled_depth,cyclic_culled_depth,commute_culled_depth,HEA_culled_depth
"3, [2, 1], [[[0, 1], 1], [[1, 2], 1]]",6,5,1,constant,34,68,245,13,12,24,81,6
"4, [3, 1], [[[0, 1], 1], [[1, 2], 1], [[2, 3], 1]]",8,6,1,constant,42,79,363,15,16,28,120,8
"5, [4, 1], [[[0, 1], 1], [[1, 2], 1], [[2, 3], 1], [[3, 4], 1]]",10,7,1,constant,50,90,481,17,20,32,159,10
"5, [3, 2], [[[0, 1], 1], [[1, 2], 1], [[2, 3], 1], [[3, 4], 1]]",10,7,1,constant,50,90,481,17,20,32,159,10
"5, [3, 1, 1], [[[0, 1], 1], [[1, 2], 1], [[2, 3], 1], [[3, 4], 1]]",15,8,1,constant,57,101,953,22,24,36,315,15
"3, [2, 1], [[[0, 1], 1], [[1, 2], 1]]",6,5,1,linear,34,68,245,13,12,24,81,6
"4, [3, 1], [[[0, 1], 1], [[1, 2], 1], [[2, 3], 1]]",8,6,1,linear,42,79,363,15,16,28,120,8
"5, [4, 1], [[[0, 1], 1], [[1, 2], 1], [[2, 3], 1], [[3, 4], 1]]",10,7,1,linear,50,90,481,17,20,32,159,10
"5, [3, 2], [[[0, 1], 1], [[1, 2], 1], [[2, 3], 1], [[3, 4], 1]]",10,7,1,linear,50,90,481,17,20,32,159,10
"5, [3, 1, 1], [[[0, 1], 1], [[1, 2], 1], [[2, 3], 1], [[3, 4], 1]]",15,8,1,linear,57,101,953,22,24,36,315,15
