pkid,backend,strategy,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,FakeKyiv,2,"[145.2654747596154, 129.87244591346155, 165.3943810096154]","[3.7109375, 4.98046875, 4.58984375]","[2.05078125, 0, 0]","[28, 30, 25]"
0,FakeKyiv,1,"[150.59525240384616, 214.97521033653845]","[2.34375, 1.85546875]","[0, 0]","[32, 24]"
0,FakeKyiv,0,208.9921875,0.09765625,0,34
0,FakeTorino,2,"[114.21642127403847, 100.82767427884616, 123.80724158653847]","[12.20703125, 11.42578125, 12.79296875]","[8.3984375, 0, 0]","[30, 25, 24]"
0,FakeTorino,1,timeout,timeout,timeout,timeout
0,FakeTorino,0,193.40091646634616,0.09765625,0,27
0,FakeBrisbane,2,"[143.28282752403845, 123.42705829326923, 165.2361778846154]","[5.2734375, 7.71484375, 5.6640625]","[3.125, 0, 0]","[33, 30, 29]"
0,FakeBrisbane,1,"[129.43336838942307, 186.35486778846155]","[7.03125, 4.1015625]","[0.1953125, 0]","[33, 31]"
0,FakeBrisbane,0,203.44365985576923,0.48828125,0,27
1,FakeKyiv,2,"[1209.66943359375, 1451.32275390625, 1351.33642578125]","[0.1953125, 0.1953125, 0.5859375]","[0.09765625, 0, 0.48828125]","[24, 23, 25]"
1,FakeKyiv,1,"[1556.6669921875, 1999.78857421875]","[0.09765625, 0.09765625]","[0, 0.09765625]","[22, 22]"
1,FakeKyiv,0,1736.62255859375,0,0,24
1,FakeTorino,2,"[1030.5263671875, 1397.7919921875, 1157.720703125]","[2.34375, 2.734375, 2.9296875]","[1.5625, 0.48828125, 2.1484375]","[29, 28, 28]"
1,FakeTorino,1,timeout,timeout,timeout,timeout
1,FakeTorino,0,1681.55859375,0.1953125,0.09765625,30
1,FakeBrisbane,2,"[1193.62890625, 1561.68310546875, 1214.76953125]","[0.09765625, 1.171875, 2.9296875]","[0.09765625, 0.78125, 2.1484375]","[22, 31, 25]"
1,FakeBrisbane,1,"[1491.64111328125, 1903.67822265625]","[0.390625, 0.1953125]","[0.09765625, 0]","[31, 25]"
1,FakeBrisbane,0,1840.36669921875,0,0,21
2,FakeKyiv,2,"[69.66293569711539, 103.64540264423077, 100.94540264423077]","[0.1953125, 0, 0.09765625]","[0, 0, 0]","[30, 26, 31]"
2,FakeKyiv,1,"[90.87169471153847, 116.07462439903846]","[0.09765625, 0.1953125]","[0, 0.09765625]","[31, 30]"
2,FakeKyiv,0,91.77189002403846,0.09765625,0.09765625,33
2,FakeTorino,2,"[58.021484375, 79.11298076923077, 85.11350661057692]","[0.9765625, 1.07421875, 0.87890625]","[0.09765625, 0, 0.1953125]","[36, 28, 27]"
2,FakeTorino,1,"[77.56832932692308, 92.2857421875]","[0.390625, 0]","[0, 0]","[29, 33]"
2,FakeTorino,0,timeout,timeout,timeout,timeout
2,FakeBrisbane,2,"[71.73106971153847, 106.8641826923077, 94.76150841346154]","[0.48828125, 0.1953125, 0.1953125]","[0.09765625, 0, 0.09765625]","[26, 32, 33]"
2,FakeBrisbane,1,"[86.73958834134615, 119.98114483173077]","[0, 0.29296875]","[0, 0.1953125]","[26, 38]"
2,FakeBrisbane,0,93.07884615384616,0,0,31
