method,loss
commute,18.0205078125
commute,16.13671875
commute,14.455078125
commute,13.458984375
commute,13.046875
commute,13.0712890625
commute,13.48046875
commute,13.876953125
commute,14.2236328125
commute,14.3154296875
commute,14.28125
commute,14.0732421875
commute,13.72265625
commute,13.4638671875
commute,13.2646484375
commute,13.0576171875
commute,13.0
commute,13.0576171875
commute,13.1845703125
commute,13.3583984375
commute,13.41015625
commute,13.443359375
commute,13.4453125
commute,13.41015625
commute,13.396484375
commute,13.3251953125
commute,13.1845703125
commute,13.0712890625
commute,13.013671875
commute,13.0
commute,13.046875
commute,13.0576171875
commute,13.087890625
commute,13.1181640625
commute,13.1181640625
commute,13.0712890625
commute,13.0576171875
commute,13.0634765625
commute,13.013671875
commute,13.0
commute,13.0
commute,13.013671875
commute,13.046875
commute,13.0576171875
commute,13.0576171875
commute,13.0576171875
commute,13.0576171875
commute,13.0576171875
commute,13.0634765625
commute,13.046875
commute,13.0166015625
commute,13.0
commute,13.0
commute,13.0166015625
commute,13.013671875
commute,13.013671875
commute,13.013671875
commute,13.0166015625
commute,13.0
commute,13.0
commute,13.0
commute,13.0166015625
commute,13.013671875
commute,13.0166015625
commute,13.0
commute,13.0
commute,13.0
commute,13.0
commute,13.0
commute,13.0166015625
commute,13.0166015625
commute,13.0
commute,13.0
commute,13.0
commute,13.0
commute,13.0
commute,13.0
