,,,ARG,ARG,ARG,ARG,in_constraints_probs,in_constraints_probs,in_constraints_probs,in_constraints_probs,best_solution_probs,best_solution_probs,best_solution_probs,best_solution_probs,iteration_count,iteration_count,iteration_count,iteration_count
method,,,HEA,commute,cyclic,penalty,HEA,commute,cyclic,penalty,HEA,commute,cyclic,penalty,HEA,commute,cyclic,penalty
pkid,variables,constraints,,,,,,,,,,,,,,,,
0,6,3,44.91272771759881,0.16498851073207815,15.258196117926664,38.96104405505364,26.435546875,100.0,58.857421875,22.021484375,8.90625,60.05859375,13.828125,3.7890625,151.0,29.2,150.8,143.6
1,15,8,149.8117922348727,0.2990010372744113,70.94851639451221,107.68444700401854,0.09765625,100.0,1.81640625,0.46875,0.0,46.015625,0.09765625,0.13671875,151.0,28.9,140.2,143.3
2,21,12,180.88522598346603,0.5011082959268609,94.6168325373686,144.94369966398182,0.0,100.0,0.341796875,0.0390625,0.0,10.390625,0.01953125,0.0,151.0,28.4,139.5,137.0
3,28,15,257.1223393492686,0.43450358963163493,97.66626046628252,176.6589593216654,0.0,100.0,0.56640625,0.0,0.0,12.158203125,0.01953125,0.0,151.0,27.7,141.8,142.1
4,12,6,1144.25,0.05859375,216.96647135416666,697.8092447916666,0.3580729166666667,100.0,39.973958333333336,4.166666666666667,0.2604166666666667,88.28125,10.05859375,2.44140625,151.0,24.666666666666668,148.66666666666666,147.66666666666666
5,15,9,1727.2615559895833,0.24755859375,620.55859375,746.7902018229166,0.032552083333333336,100.0,2.3111979166666665,2.7669270833333335,0.032552083333333336,50.48828125,0.16276041666666666,1.7578125,151.0,21.0,143.66666666666666,148.33333333333334
6,24,12,3090.787353515625,0.469677734375,478.82109375,2591.484765625,0.0,100.0,20.29296875,0.009765625,0.0,13.876953125,0.05859375,0.0,151.0,25.5,144.8,131.3
7,28,16,3834.2830078125,0.55986328125,500.637939453125,2365.513525390625,0.0,100.0,37.109375,0.029296875,0.0,1.259765625,0.0,0.01953125,151.0,21.4,145.1,142.5
8,8,6,59.37689292712885,0.13603876023065473,32.273939307960305,53.783870868379246,4.462890625,100.0,18.037109375,5.17578125,1.03515625,56.30859375,5.986328125,1.66015625,151.0,27.6,148.2,147.6
9,18,9,129.59692960391766,0.17781531126773528,37.78508717655597,117.9356043291513,0.0390625,100.0,39.326171875,0.048828125,0.0,31.201171875,9.4140625,0.009765625,151.0,23.5,140.2,134.7
10,24,11,164.83531770700765,0.2423562715531496,24.699744160228455,162.4818770913494,0.0,100.0,59.482421875,0.009765625,0.0,3.642578125,0.0,0.009765625,151.0,23.7,138.4,132.8
11,27,12,169.50501371778378,0.23164886855081163,30.530602118472352,162.49001304058527,0.0,100.0,49.53125,0.0,0.0,1.81640625,0.0,0.0,151.0,24.3,138.8,128.9
